Week_end,Indicator,High_industry,Value
2019-07-28,Weekly earnings - median - 34 days,Z No Match,531
2019-07-28,Weekly earnings - upper quartile - 34 days,Total,1474.56
2019-07-28,Weekly earnings - upper quartile - 34 days,A Primary,1292.47
2019-07-28,Weekly earnings - upper quartile - 34 days,B Goods Producing,1538.46
2019-07-28,Weekly earnings - upper quartile - 34 days,C Services,1474.22
2019-07-28,Weekly earnings - upper quartile - 34 days,Z No Match,893.97
2019-07-28,Weekly earnings - lower quartile - 34 days,Total,649
2019-07-28,Weekly earnings - lower quartile - 34 days,A Primary,601.18
2019-07-28,Weekly earnings - lower quartile - 34 days,B Goods Producing,858.57
2019-07-28,Weekly earnings - lower quartile - 34 days,C Services,593.77
2019-07-28,Weekly earnings - lower quartile - 34 days,Z No Match,211.2
2019-08-04,Number of paid jobs - 34 days,Total,2149340
2019-08-04,Number of paid jobs - 34 days,A Primary,91390
2019-08-04,Number of paid jobs - 34 days,B Goods Producing,404350
2019-08-04,Number of paid jobs - 34 days,C Services,1620190
2019-08-04,Number of paid jobs - 34 days,Z No Match,33410
2019-08-04,Weekly earnings - median - 34 days,Total,1000
2019-08-04,Weekly earnings - median - 34 days,A Primary,926.85
2019-08-04,Weekly earnings - median - 34 days,B Goods Producing,1140.56
2019-08-04,Weekly earnings - median - 34 days,C Services,972.32
2019-08-04,Weekly earnings - median - 34 days,Z No Match,587.95
2019-08-04,Weekly earnings - upper quartile - 34 days,Total,1452.06
2019-08-04,Weekly earnings - upper quartile - 34 days,A Primary,1261.86
2019-08-04,Weekly earnings - upper quartile - 34 days,B Goods Producing,1535.5
2019-08-04,Weekly earnings - upper quartile - 34 days,C Services,1448
2019-08-04,Weekly earnings - upper quartile - 34 days,Z No Match,929.27
2019-08-04,Weekly earnings - lower quartile - 34 days,Total,632.5
2019-08-04,Weekly earnings - lower quartile - 34 days,A Primary,570
2019-08-04,Weekly earnings - lower quartile - 34 days,B Goods Producing,849.85
2019-08-04,Weekly earnings - lower quartile - 34 days,C Services,576.92
2019-08-04,Weekly earnings - lower quartile - 34 days,Z No Match,276.87
2019-08-11,Number of paid jobs - 34 days,Total,2131690
2019-08-11,Number of paid jobs - 34 days,A Primary,90530
2019-08-11,Number of paid jobs - 34 days,B Goods Producing,400900
2019-08-11,Number of paid jobs - 34 days,C Services,1609140
2019-08-11,Number of paid jobs - 34 days,Z No Match,31130
2019-08-11,Weekly earnings - median - 34 days,Total,1009.05
2019-08-11,Weekly earnings - median - 34 days,A Primary,956.42
2019-08-11,Weekly earnings - median - 34 days,B Goods Producing,1150
2019-08-11,Weekly earnings - median - 34 days,C Services,981.5
2019-08-11,Weekly earnings - median - 34 days,Z No Match,616.51
2019-08-11,Weekly earnings - upper quartile - 34 days,Total,1456.5
2019-08-11,Weekly earnings - upper quartile - 34 days,A Primary,1291.21
